id;nom;nom_com_m;insee_com;statut;population;insee_arr;insee_dep;insee_reg;code_epci;X_COORD;Y_COORD;long;lat
COMMUNE_0000000009727693;Montigny-en-Gohelle;MONTIGNY-EN-GOHELLE;62587;Commune simple;10198;7;62;32;246200299;695034,1081;7036819,914;2.930212942;50.42888723
COMMUNE_0000000009726963;Coudekerque-Branche;COUDEKERQUE-BRANCHE;59155;Commune simple;21134;4;59;32;245900428;657444,5569;7102616,525;2.394882097;51.01783844
COMMUNE_0000000009727709;Avion;AVION;62065;Commune simple;17622;7;62;32;246200364;687691,459;7034061,857;2.827109751;50.40402668
COMMUNE_0000000009726999;Marck;MARCK;62548;Commune simple;10676;6;62;32;246201149;626052,1226;7095768,327;1.949833327;50.95346595
COMMUNE_0000000009727225;Saint-Martin-Boulogne;SAINT-MARTIN-BOULOGNE;62758;Commune simple;11204;3;62;32;246200729;604315,4295;7070475,165;1.647347259;50.72360757
COMMUNE_0000000009728130;Hautmont;HAUTMONT;59291;Commune simple;14574;1;59;32;200043396;765639,6573;7017023,781;3.919172485;50.24774625
COMMUNE_0000000009727949;Maubeuge;MAUBEUGE;59392;Commune simple;29944;1;59;32;200043396;768735,2367;7021127,389;3.96321758;50.28425839
COMMUNE_0000000009727231;Boulogne-sur-Mer;BOULOGNE-SUR-MER;62160;Sous-préfecture;40874;3;62;32;246200729;601406,0356;7070879,051;1.606126014;50.72677711
COMMUNE_0000000009727581;Nœux-les-Mines;NŒUX-LES-MINES;62617;Commune simple;12074;2;62;32;200072460;676015,3551;7041999,591;2.662628079;50.47494302
COMMUNE_0000000009726971;Gravelines;GRAVELINES;59273;Commune simple;11166;4;59;32;245900428;639762,4747;7100592,055;2.143780363;50.99821402
COMMUNE_0000000009727810;Denain;DENAIN;59172;Commune simple;19825;6;59;32;200042190;727790,9764;7025913,899;3.389794654;50.33038196
COMMUNE_0000000009727667;Bruay-sur-l'Escaut;BRUAY-SUR-L'ESCAUT;59112;Commune simple;11449;6;59;32;245901160;738325,7867;7033395,791;3.538266703;50.39699549
COMMUNE_0000000009727803;Anzin;ANZIN;59014;Commune simple;13305;6;59;32;245901160;736398,2877;7030966,268;3.510975908;50.3753
COMMUNE_0000000009727527;Vieux-Condé;VIEUX-CONDE;59616;Commune simple;10469;6;59;32;245901160;740253,2574;7041948,27;3.566197438;50.47364683
COMMUNE_0000000009727794;Saint-Saulve;SAINT-SAULVE;59544;Commune simple;11207;6;59;32;245901160;740338,1939;7031009,918;3.566288715;50.37545059
COMMUNE_0000000009727090;Roncq;RONCQ;59508;Commune simple;13388;5;59;32;245900410;708331,0571;7072300,67;3.117822613;50.74728584
COMMUNE_0000000009727238;Villeneuve-d'Ascq;VILLENEUVE-D'ASCQ;59009;Commune simple;63408;5;59;32;245900410;710851,8224;7059508,832;3.153121836;50.63245941
COMMUNE_0000000009727001;Calais;CALAIS;62193;Sous-préfecture;73911;6;62;32;246201149;620796,1442;7095520,579;1.875250716;50.95059462
COMMUNE_0000000009727986;Douchy-les-Mines;DOUCHY-LES-MINES;59179;Commune simple;10558;6;59;32;200042190;727788,5322;7022482,182;3.389522934;50.29957133
COMMUNE_0000000009727586;Bruay-la-Buissière;BRUAY-LA-BUISSIERE;62178;Commune simple;21831;2;62;32;200072460;668178,5727;7043682,054;2.552262504;50.48969532
COMMUNE_0000000009727669;Saint-Amand-les-Eaux;SAINT-AMAND-LES-EAUX;59526;Commune simple;15889;6;59;32;200042190;731586,787;7038186,173;3.444001294;50.44037444
COMMUNE_0000000009727665;Raismes;RAISMES;59491;Commune simple;12587;6;59;32;200042190;734849,4226;7034910,529;3.489576101;50.41079648
COMMUNE_0000000009727230;Outreau;OUTREAU;62643;Commune simple;13422;3;62;32;246200729;600349,0109;7067615,595;1.592008052;50.69732974
COMMUNE_0000000009727195;Longuenesse;LONGUENESSE;62525;Commune simple;11023;5;62;32;200069037;646644,7177;7071266,684;2.245580946;50.73577681
COMMUNE_0000000009727337;Ronchin;RONCHIN;59507;Commune simple;19220;5;59;32;245900410;706554,4479;7056424,66;3.092433974;50.60484061
COMMUNE_0000000009727183;Hazebrouck;HAZEBROUCK;59295;Commune simple;21441;4;59;32;200040947;667359,3966;7070027,098;2.538570576;50.72608536
COMMUNE_0000000009727944;Jeumont;JEUMONT;59324;Commune simple;10159;1;59;32;200043396;778771,3274;7022081,742;4.10402762;50.29164696
COMMUNE_0000000009727456;Béthune;BETHUNE;62119;Sous-préfecture;24895;2;62;32;200072460;674648,7531;7048033,882;2.643021762;50.52905228
COMMUNE_0000000009727339;Faches-Thumesnil;FACHES-THUMESNIL;59220;Commune simple;17835;5;59;32;245900410;705130,4184;7055227,105;3.072336168;50.59410623
COMMUNE_0000000009727175;Bailleul;BAILLEUL;59043;Commune simple;14769;4;59;32;200040947;681437,1257;7070112,534;2.737576745;50.72743096
COMMUNE_0000000009727706;Lens;LENS;62498;Sous-préfecture;31415;7;62;32;246200364;687281,86;7037807,876;2.821237273;50.4376465
COMMUNE_0000000009727705;Liévin;LIEVIN;62510;Commune simple;30785;7;62;32;246200364;683832,5949;7036332,115;2.772815255;50.4243192
COMMUNE_0000000009728471;Caudry;CAUDRY;59139;Commune simple;14591;2;59;32;200030633;729980,8878;7002401,038;3.418760714;50.11915187
COMMUNE_0000000009727243;Croix;CROIX;59163;Commune simple;21041;5;59;32;245900410;710992,0896;7064115,423;3.155228815;50.67379647
COMMUNE_0000000009727248;La Madeleine;LA MADELEINE;59368;Commune simple;21173;5;59;32;245900410;704956,8689;7061946,366;3.069973166;50.6544089
COMMUNE_0000000009727162;Mouvaux;MOUVAUX;59421;Commune simple;13151;5;59;32;245900410;709673,3969;7067487,263;3.136688881;50.70407561
COMMUNE_0000000009727160;Tourcoing;TOURCOING;59599;Commune simple;97368;5;59;32;245900410;711293,4688;7069912,841;3.15965037;50.72581344
COMMUNE_0000000009727094;Comines;COMINES;59152;Commune simple;12358;5;59;32;245900410;701189,5435;7072587,373;3.016824087;50.74991299
COMMUNE_0000000009727235;Lys-lez-Lannoy;LYS-LEZ-LANNOY;59367;Commune simple;13422;5;59;32;245900410;715371,1322;7063967,82;3.217063071;50.67237929
COMMUNE_0000000009727246;Marquette-lez-Lille;MARQUETTE-LEZ-LILLE;59386;Commune simple;10376;5;59;32;245900410;704190,247;7064143,386;3.059174467;50.67413027
COMMUNE_0000000009727249;Lambersart;LAMBERSART;59328;Commune simple;27649;5;59;32;245900410;701794,6498;7061685,647;3.025332828;50.65208633
COMMUNE_0000000009727245;Saint-André-lez-Lille;SAINT-ANDRE-LEZ-LILLE;59527;Commune simple;12608;5;59;32;245900410;703349,0608;7062612,838;3.047282338;50.6604005
COMMUNE_0000000009727247;Marcq-en-Barœul;MARCQ-EN-BARŒUL;59378;Commune simple;38617;5;59;32;245900410;707160,7113;7064308,467;3.101126171;50.67558461
COMMUNE_0000000009727166;Bondues;BONDUES;59090;Commune simple;10103;5;59;32;245900410;706766,8437;7068133,779;3.09562926;50.70991535
COMMUNE_0000000009727091;Neuville-en-Ferrain;NEUVILLE-EN-FERRAIN;59426;Commune simple;10284;5;59;32;245900410;711256,4617;7072919,59;3.159212923;50.75279318
COMMUNE_0000000009727241;Hem;HEM;59299;Commune simple;18617;5;59;32;245900410;713658,4676;7062046,846;3.192811583;50.65518067
COMMUNE_0000000009727163;Wambrechies;WAMBRECHIES;59636;Commune simple;10948;5;59;32;245900410;703329,8467;7066574,738;3.047044395;50.6959534
COMMUNE_0000000009727798;Valenciennes;VALENCIENNES;59606;Sous-préfecture;43336;6;59;32;245901160;736780,4167;7029164,886;3.51617495;50.35910578
COMMUNE_0000000009727239;Wasquehal;WASQUEHAL;59646;Commune simple;20479;5;59;32;245900410;709058,7005;7064261,797;3.127929156;50.6751411
COMMUNE_0000000009727802;Marly;MARLY;59383;Commune simple;11855;6;59;32;245901160;739161,6143;7027658,698;3.549444459;50.34543945
COMMUNE_0000000009727694;Hénin-Beaumont;HENIN-BEAUMONT;62427;Commune simple;26022;7;62;32;246200299;697099,428;7034643,56;2.959253231;50.40936299
COMMUNE_0000000009727824;Aniche;ANICHE;59008;Commune simple;10244;3;59;32;245901152;718239,8591;7025916,09;3.255832509;50.3307522
COMMUNE_0000000009727818;Somain;SOMAIN;59574;Commune simple;12151;3;59;32;245901152;719633,5426;7029172,78;3.275539573;50.35994838
COMMUNE_0000000009727826;Sin-le-Noble;SIN-LE-NOBLE;59569;Commune simple;15682;3;59;32;200044618;708573,6589;7030004,043;3.120341968;50.36766013
COMMUNE_0000000009727563;Carvin;CARVIN;62215;Commune simple;17124;7;62;32;246200299;696351,9548;7043560,702;2.948671423;50.48940521
COMMUNE_0000000009727244;Lille;LILLE;59350;Préfecture de région;232787;5;59;32;245900410;703330,4999;7059432,371;3.046993569;50.63185877
COMMUNE_0000000009727338;Loos;LOOS;59360;Commune simple;22233;5;59;32;245900410;701424,4365;7056867,805;3.020089687;50.60885048
COMMUNE_0000000009727429;Seclin;SECLIN;59560;Commune simple;12414;5;59;32;245900410;702487,7849;7049928,503;3.035043295;50.54656688
COMMUNE_0000000009727715;Bully-les-Mines;BULLY-LES-MINES;62186;Commune simple;12163;7;62;32;246200364;680030,9725;7038689,982;2.719277387;50.44537554
